Date	Time (UTC)	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2018-07-19	21:00:00	61	45.0755150	 6.5153983	3	2D		4.8	 13	 17	 13
2018-07-19	15:00:00	71	45.0682617	 6.5047833	4	2D		2.7	 26	 34	 13
2018-07-19	09:00:00	89	45.0521950	 6.4962333	4	3D	  2822	1.9	 17	 15	  7
2018-07-19	03:00:00	43	45.0509783	 6.4870350	6	3D	  2657	1.3	 15	 14	  5
2018-07-18	21:00:00	62	45.0706817	 6.5088850	3	2D		2.7	 14	 27	 19
2018-07-18	15:00:00	43	45.0424833	 6.4971617	8	3D	  2908	1.1	 28	  0	  1
2018-07-18	09:00:00	42	45.0423283	 6.4964600	5	3D	  2899	1.4	 16	  5	  2
2018-07-18	03:00:00	42	45.0399017	 6.4930400	6	3D	  2617	1.6	 18	  7	  3
2018-07-17	21:00:00	41	45.0331550	 6.4983567	9	3D	  2748	1.0	 13	  1	  1
2018-07-17	15:00:00	42	45.0439533	 6.5023967	6	3D	  2931	1.5	 20	 20	 13
2018-07-17	09:00:00	42	45.0440067	 6.5016983	6	3D	  2939	1.6	 21	  0	  0
2018-07-17	03:00:00	42	45.0410067	 6.4990967	5	3D	  2881	2.1	 14	  0	  1
2018-07-16	21:00:00	42	45.0410250	 6.4990850	4	3D	  2882	2.2	 15	  0	  0
2018-07-16	15:00:00	70	45.0409583	 6.4999617	5	3D	  2906	2.8	 20	  0	  0
2018-07-16	09:00:00	42	45.0436917	 6.5051233	6	3D	  2914	1.0	 21	  1	  0
2018-07-16	03:00:00	43	45.0328583	 6.5140600	4	3D	  2561	3.3	 19	  0	  0
2018-07-15	21:00:00	62	45.0493633	 6.5296133	5	3D	   102	2.3	 19	  3	  0
2018-07-15	15:00:00	62	45.0452850	 6.4817883	3	2D		2.0	 19	  0	  0
2018-07-15	09:00:00	43	45.0443867	 6.5093883	5	3D	  2814	1.8	 12	  3	  1
2018-07-15	03:00:00	43	45.0495150	 6.5193083	8	3D	  2384	1.1	 13	 11	  6
2018-07-14	21:00:00	43	45.0529233	 6.5182283	7	3D	  2358	1.1	 13	  7	  6
2018-07-14	15:00:00	43	45.0519617	 6.4967883	5	3D	  2839	5.2	 18	  6	  2
2018-07-14	09:00:00	62	45.0722950	 6.4753183	3	2D		3.3	 23	  0	  0
2018-07-14	03:00:00	43	45.0508717	 6.4882017	5	3D	  2649	1.5	 13	  6	  2
2018-07-13	21:00:00	60	45.0511217	 6.4873933	5	3D	  2640	2.0	 16	  0	  0
2018-07-13	15:00:00	42	45.0522117	 6.4973683	6	3D	  2880	2.4	 28	  0	  0
2018-07-13	09:00:00	42	45.0521717	 6.4979683	7	3D	  2889	1.1	 25	  0	  0
2018-07-13	03:00:00		GPS Time Out				     0	0.0	 12	 28	 13
2018-07-12	21:00:00	45	45.0489917	 6.4902517	5	3D	  2616	1.4	 12	  7	  4
2018-07-12	15:00:00	71	45.0540733	 6.4900583	6	3D	  2795	1.4	 10	 27	 23
2018-07-12	09:00:00	61	45.0784317	 6.4705000	3	2D		3.5	 21	  0	  0
2018-07-12	03:00:00	42	45.0517117	 6.4862267	7	3D	  2676	1.0	 10	  7	 10
2018-07-11	21:00:00	43	45.0508350	 6.4876017	8	3D	  2609	1.2	 11	  4	  2
2018-07-11	15:00:00	42	45.0521750	 6.4981617	5	3D	  2896	2.4	 24	  0	  0
2018-07-11	09:00:00	43	45.0521417	 6.4979267	6	3D	  2881	1.8	 23	  0	  0
2018-07-11	03:00:00	62	45.0619267	 6.5039383	4	3D	   125	1.9	 10	  8	 10
2018-07-10	21:00:00	61	45.0511100	 6.4873117	6	3D	  2637	1.5	 11	 11	  8
2018-07-10	15:00:00	42	45.0565483	 6.4872417	5	3D	  3012	1.2	 27	  0	  0
2018-07-10	09:00:00	42	45.0564917	 6.4866817	4	3D	  3018	2.8	 31	  2	  3
2018-07-10	03:00:00	42	45.0510667	 6.4871867	4	3D	  2634	1.6	 15	  8	  7
2018-07-09	21:00:00	44	45.0547583	 6.4889617	4	3D	  1870	2.1	 17	 16	 14
2018-07-09	15:00:00	60	45.0533050	 6.4900817	8	3D	  2747	1.1	 12	 23	 14
2018-07-09	09:00:00	62	45.0564550	 6.4870950	6	3D	  3040	1.5	 21	  0	  0
2018-07-09	03:00:00	62	45.0610717	 6.5041550	3	2D		2.7	 16	 14	  8
2018-07-08	21:00:00	66	45.0510950	 6.4871467	7	3D	  2646	1.3	 13	 21	 17
